
40,40,30,clearance,48,49,54,0,"[40, 40, 30, 48, 49, 54, 0]",neutral
40,40,60,clearance,48,49,54,0,"[40, 40, 60, 48, 49, 54, 0]",under
40,80,30,clearance,48,49,54,0,"[40, 80, 30, 48, 49, 54, 0]",collision
40,80,60,clearance,48,49,54,0,"[40, 80, 60, 48, 49, 54, 0]",under
40,100,30,clearance,48,49,54,0,"[40, 100, 30, 48, 49, 54, 0]",collision
40,100,60,clearance,48,49,54,0,"[40, 100, 60, 48, 49, 54, 0]",under
80,40,30,clearance,48,49,54,0,"[80, 40, 30, 48, 49, 54, 0]",collision
80,40,60,clearance,48,49,54,0,"[80, 40, 60, 48, 49, 54, 0]",under
80,80,30,clearance,48,49,54,0,"[80, 80, 30, 48, 49, 54, 0]",collision
80,80,60,clearance,48,49,54,0,"[80, 80, 60, 48, 49, 54, 0]",under
80,100,30,clearance,48,49,54,0,"[80, 100, 30, 48, 49, 54, 0]",collision
80,100,60,clearance,48,49,54,0,"[80, 100, 60, 48, 49, 54, 0]",under
100,40,30,clearance,48,49,54,0,"[100, 40, 30, 48, 49, 54, 0]",collision
100,40,60,clearance,48,49,54,0,"[100, 40, 60, 48, 49, 54, 0]",under
100,80,30,clearance,48,49,54,0,"[100, 80, 30, 48, 49, 54, 0]",collision
100,80,60,clearance,48,49,54,0,"[100, 80, 60, 48, 49, 54, 0]",under
100,100,30,clearance,48,49,54,0,"[100, 100, 30, 48, 49, 54, 0]",collision
100,100,60,clearance,48,49,54,0,"[100, 100, 60, 48, 49, 54, 0]",under
40,40,30,m_like,60,60,60,60,"[40, 40, 30, 60, 60, 60, 60]",neutral
40,40,60,m_like,60,60,60,60,"[40, 40, 60, 60, 60, 60, 60]",under
40,80,30,m_like,60,60,60,60,"[40, 80, 30, 60, 60, 60, 60]",collision
40,80,60,m_like,60,60,60,60,"[40, 80, 60, 60, 60, 60, 60]",under
40,100,30,m_like,60,60,60,60,"[40, 100, 30, 60, 60, 60, 60]",collision
40,100,60,m_like,60,60,60,60,"[40, 100, 60, 60, 60, 60, 60]",under
80,40,30,m_like,60,60,60,60,"[80, 40, 30, 60, 60, 60, 60]",over
80,40,60,m_like,60,60,60,60,"[80, 40, 60, 60, 60, 60, 60]",under
80,80,30,m_like,60,60,60,60,"[80, 80, 30, 60, 60, 60, 60]",collision
80,80,60,m_like,60,60,60,60,"[80, 80, 60, 60, 60, 60, 60]",under
80,100,30,m_like,60,60,60,60,"[80, 100, 30, 60, 60, 60, 60]",collision
80,100,60,m_like,60,60,60,60,"[80, 100, 60, 60, 60, 60, 60]",under
100,40,30,m_like,60,60,60,60,"[100, 40, 30, 60, 60, 60, 60]",over
100,40,60,m_like,60,60,60,60,"[100, 40, 60, 60, 60, 60, 60]",under
100,80,30,m_like,60,60,60,60,"[100, 80, 30, 60, 60, 60, 60]",over
100,80,60,m_like,60,60,60,60,"[100, 80, 60, 60, 60, 60, 60]",under
100,100,30,m_like,60,60,60,60,"[100, 100, 30, 60, 60, 60, 60]",collision
100,100,60,m_like,60,60,60,60,"[100, 100, 60, 60, 60, 60, 60]",under
40,40,30,i_like,90,90,90,0,"[40, 40, 30, 90, 90, 90, 0]",neutral
40,40,60,i_like,90,90,90,0,"[40, 40, 60, 90, 90, 90, 0]",collision
40,80,30,i_like,90,90,90,0,"[40, 80, 30, 90, 90, 90, 0]",over
40,80,60,i_like,90,90,90,0,"[40, 80, 60, 90, 90, 90, 0]",collision
40,100,30,i_like,90,90,90,0,"[40, 100, 30, 90, 90, 90, 0]",collision
40,100,60,i_like,90,90,90,0,"[40, 100, 60, 90, 90, 90, 0]",collision
80,40,30,i_like,90,90,90,0,"[80, 40, 30, 90, 90, 90, 0]",over
80,40,60,i_like,90,90,90,0,"[80, 40, 60, 90, 90, 90, 0]",over
80,80,30,i_like,90,90,90,0,"[80, 80, 30, 90, 90, 90, 0]",over
80,80,60,i_like,90,90,90,0,"[80, 80, 60, 90, 90, 90, 0]",over
80,100,30,i_like,90,90,90,0,"[80, 100, 30, 90, 90, 90, 0]",over
80,100,60,i_like,90,90,90,0,"[80, 100, 60, 90, 90, 90, 0]",over
100,40,30,i_like,90,90,90,0,"[100, 40, 30, 90, 90, 90, 0]",over
100,40,60,i_like,90,90,90,0,"[100, 40, 60, 90, 90, 90, 0]",over
100,80,30,i_like,90,90,90,0,"[100, 80, 30, 90, 90, 90, 0]",over
100,80,60,i_like,90,90,90,0,"[100, 80, 60, 90, 90, 90, 0]",over
100,100,30,i_like,90,90,90,0,"[100, 100, 30, 90, 90, 90, 0]",over
100,100,60,i_like,90,90,90,0,"[100, 100, 60, 90, 90, 90, 0]",over
40,40,30,s_like,80,80,80,90,"[40, 40, 30, 80, 80, 80, 90]",neutral
40,40,60,s_like,80,80,80,90,"[40, 40, 60, 80, 80, 80, 90]",collision
40,80,30,s_like,80,80,80,90,"[40, 80, 30, 80, 80, 80, 90]",collision
40,80,60,s_like,80,80,80,90,"[40, 80, 60, 80, 80, 80, 90]",collision
40,100,30,s_like,80,80,80,90,"[40, 100, 30, 80, 80, 80, 90]",collision
40,100,60,s_like,80,80,80,90,"[40, 100, 60, 80, 80, 80, 90]",collision
80,40,30,s_like,80,80,80,90,"[80, 40, 30, 80, 80, 80, 90]",over
80,40,60,s_like,80,80,80,90,"[80, 40, 60, 80, 80, 80, 90]",over
80,80,30,s_like,80,80,80,90,"[80, 80, 30, 80, 80, 80, 90]",over
80,80,60,s_like,80,80,80,90,"[80, 80, 60, 80, 80, 80, 90]",over
80,100,30,s_like,80,80,80,90,"[80, 100, 30, 80, 80, 80, 90]",over
80,100,60,s_like,80,80,80,90,"[80, 100, 60, 80, 80, 80, 90]",collision
100,40,30,s_like,80,80,80,90,"[100, 40, 30, 80, 80, 80, 90]",over
100,40,60,s_like,80,80,80,90,"[100, 40, 60, 80, 80, 80, 90]",over
100,80,30,s_like,80,80,80,90,"[100, 80, 30, 80, 80, 80, 90]",over
100,80,60,s_like,80,80,80,90,"[100, 80, 60, 80, 80, 80, 90]",collision
100,100,30,s_like,80,80,80,90,"[100, 100, 30, 80, 80, 80, 90]",collision
100,100,60,s_like,80,80,80,90,"[100, 100, 60, 80, 80, 80, 90]",collision
